min_1_avg_rss12,max_1_avg_rss12,mean_1_avg_rss12,median_1_avg_rss12,sd_1_avg_rss12,fstQ_1_avg_rss12,trdQ_1_avg_rss12,min_2_var_rss12,max_2_var_rss12,mean_2_var_rss12,median_2_var_rss12,sd_2_var_rss12,fstQ_2_var_rss12,trdQ_2_var_rss12,min_3_avg_rss13,max_3_avg_rss13,mean_3_avg_rss13,median_3_avg_rss13,sd_3_avg_rss13,fstQ_3_avg_rss13,trdQ_3_avg_rss13,min_4_var_rss13,max_4_var_rss13,mean_4_var_rss13,median_4_var_rss13,sd_4_var_rss13,fstQ_4_var_rss13,trdQ_4_var_rss13,min_5_avg_rss23,max_5_avg_rss23,mean_5_avg_rss23,median_5_avg_rss23,sd_5_avg_rss23,fstQ_5_avg_rss23,trdQ_5_avg_rss23,min_6_var_rss23,max_6_var_rss23,mean_6_var_rss23,median_6_var_rss23,sd_6_var_rss23,fstQ_6_var_rss23,trdQ_6_var_rss23
36.25,48.0,43.973235908141966,44.5,1.6175448131268568,43.33,44.67,0.0,1.5,0.41398747390396656,0.47,0.26270592211902805,0.43,0.5,1.5,26.33,15.862526096033402,16.25,3.744394092524647,14.25,18.0,0.0,5.17,0.6667014613778706,0.47,0.7897727392901666,0.0,0.94,11.33,30.75,22.124843423799582,21.67,3.2893987073910242,20.5,23.75,0.0,2.96,0.5564718162839248,0.49,0.487673877090505,0.0,0.83
37.0,48.0,43.459561586638834,43.25,1.3838692708692013,42.5,45.0,0.0,1.58,0.37615866388308977,0.47,0.3130633230341322,0.0,0.5,5.75,27.0,15.776200417536534,15.0,3.833287664600899,13.0,18.25,0.0,10.03,0.8511273486430062,0.5,0.9960436288268891,0.43,1.12,8.0,33.5,23.015386221294364,23.5,2.4548446267159205,22.25,24.0,0.0,5.26,0.6791022964509394,0.5,0.623070601833526,0.43,0.87
33.0,47.75,42.169060542797496,43.5,3.6669289526831093,39.0,45.0,0.0,3.0,0.6965135699373696,0.5,0.6314350357031034,0.0,1.12,8.5,30.0,22.171482254697285,23.0,3.8051452304876427,20.5,24.33,0.0,5.15,0.9902713987473903,0.83,0.9546957989056196,0.43,1.3,20.0,38.67,33.492338204592905,35.0,3.853316829473957,30.33,36.33,0.0,2.18,0.6120876826722338,0.5,0.5239233078066186,0.0,1.0
33.0,45.75,41.6725260960334,41.75,2.242550682514916,41.33,42.75,0.0,2.83,0.5361169102296451,0.5,0.4058813888127609,0.43,0.71,3.0,28.25,18.996659707724426,19.0,4.085611259412526,16.5,22.0,0.0,6.42,0.8427348643006263,0.5,0.9295805025534606,0.43,1.12,23.67,37.5,29.85678496868476,30.0,2.413538197211102,28.33,31.25,0.0,1.79,0.3840918580375783,0.43,0.3891756655514565,0.0,0.5
35.0,47.4,43.95858037578288,44.33,1.5578966312003173,43.0,45.0,0.0,1.7,0.42565762004175367,0.47,0.3387954538038746,0.0,0.5,6.5,29.75,22.124175365344467,23.0,3.033848671238834,19.75,24.0,0.0,4.44,0.4974530271398747,0.43,0.5512243745276992,0.0,0.83,29.0,38.5,35.60012526096033,36.0,1.985272866000466,35.4,36.5,0.0,1.79,0.494321503131524,0.43,0.5135465220510276,0.0,0.94
18.33,47.67,34.33739039665971,34.75,4.953025498194545,31.25,38.0,0.0,12.48,4.399311064718163,3.9,2.5708476992183065,2.49,5.76,7.67,23.33,15.565114822546972,15.5,2.97044499176997,13.67,17.5,0.0,9.01,3.192421711899791,2.92,1.6730420960812147,2.05,4.24,6.67,24.0,15.869895615866389,16.0,3.0012432900636843,13.75,18.0,0.0,8.01,3.26,2.96,1.618608059478639,2.05,4.32
21.5,51.0,34.92732776617954,35.5,4.647077450128308,32.0,38.0,0.0,12.21,4.110814196242171,3.83,2.335176331431428,2.35,5.61,6.5,23.33,15.530480167014614,15.5,2.9003370131551605,13.33,17.67,0.0,9.09,3.097286012526096,2.87,1.5017862946935774,2.06,3.84,6.33,25.0,15.993736951983298,16.25,3.1944769973048044,14.2,18.25,0.0,10.21,3.284258872651357,3.03,1.700157088422529,2.12,4.5
18.0,46.0,35.18643006263048,36.0,4.75442590443557,32.0,38.75,0.0,16.2,4.322171189979123,3.9,2.628139939929843,2.45,5.87,5.67,24.5,15.462150313152401,15.67,3.117477484854073,13.33,17.5,0.0,8.76,3.075511482254697,2.86,1.509166170680228,1.92,4.09,6.25,23.5,16.092025052192067,16.33,3.2046730182941894,14.25,18.5,0.0,8.5,3.245260960334029,3.03,1.7695502953170945,1.89,4.44
20.75,46.25,34.76127348643006,35.25,4.746950997464481,31.67,38.25,0.0,12.68,4.226826722338204,3.9,2.279414323504298,2.49,5.73,5.0,23.75,15.240208768267223,15.33,2.923766191564488,13.5,17.25,0.0,9.2,3.2094780793319417,3.0,1.5912530058738552,2.05,4.21,6.0,25.5,16.304363256784967,16.25,3.176255189834149,14.25,18.33,0.0,9.39,3.295135699373695,3.27,1.64236356761885,2.05,4.32
21.5,51.25,34.250396659707725,35.0,4.94543194500406,30.75,37.75,0.0,13.55,4.452484342379958,4.15,2.3867390542409206,2.69,5.89,6.5,24.0,15.244718162839249,15.25,2.9637957459563435,13.25,17.25,0.0,9.5,3.279394572025052,3.09,1.761209600280757,2.0,4.44,7.0,24.25,15.718100208768266,15.75,3.1195717611878706,13.75,18.0,0.0,8.32,3.4999164926931106,3.27,1.6940482798910717,2.18,4.58
19.5,45.33,33.56862212943633,34.25,4.638555739961634,30.25,37.0,0.0,14.67,4.57901878914405,4.26,2.463061094596148,2.87,6.12,7.33,23.25,15.315908141962423,15.33,2.9732392841674944,13.25,17.33,0.0,9.0,3.227473903966597,3.09,1.649187858594896,2.05,4.26,6.33,25.0,15.887745302713988,16.0,3.285999769825743,13.67,18.25,0.0,8.32,3.261419624217119,3.11,1.6415395077019321,2.05,4.33
19.5,46.0,34.5484133611691,35.25,4.847119317506787,31.25,38.0,0.0,12.47,4.37509394572025,4.15,2.361915297361206,2.49,5.8,7.0,22.67,15.183507306889354,15.25,2.760056434646951,13.25,17.0,0.0,8.34,3.0278705636743215,2.86,1.6668289915215893,1.79,4.11,7.0,22.75,15.76321503131524,15.75,2.82492701755313,14.0,17.75,0.0,10.0,3.3346555323590814,3.08,1.6567279582168344,2.16,4.32
19.75,45.5,34.33229645093946,35.25,4.75283629786216,31.0,38.0,0.0,13.47,4.464739039665971,3.9,2.5954627058963218,2.49,5.97,6.25,22.25,15.202379958246347,15.25,2.7090114946090296,13.5,17.0,0.0,9.0,3.2748016701461378,3.11,1.5006702520383528,2.17,4.39,6.25,23.25,15.54116910229645,15.75,3.1164659691093304,13.5,17.75,0.0,9.67,3.435302713987474,3.2,1.7334972819657308,2.17,4.58
19.25,44.0,34.46634655532359,35.0,4.799375723541042,31.25,38.0,0.0,13.86,4.349770354906054,3.96,2.382068505640181,2.49,5.89,6.0,22.75,15.422985386221294,15.5,2.8047408426353155,13.67,17.33,0.0,9.1,3.184342379958246,3.03,1.6018642172159394,2.05,4.03,4.67,23.25,15.701461377870563,16.0,3.159062667850195,13.67,17.75,0.43,9.0,3.338329853862213,3.09,1.7002498363568714,2.12,4.42
23.5,46.25,34.88027139874739,35.25,4.533827957840177,31.75,38.25,0.0,14.82,4.381858037578288,3.94,2.4378233167597614,2.5,5.94,6.67,24.25,15.47321503131524,15.5,2.815667332796722,13.5,17.25,0.0,9.9,3.2075991649269313,3.03,1.5203583170479498,2.05,4.19,5.5,23.5,15.871544885177453,16.0,3.1339252649825187,13.75,18.0,0.0,9.51,3.42223382045929,3.27,1.6919009077411389,2.17,4.5
18.33,45.75,34.621482254697284,35.25,4.712972093840619,31.5,38.0,0.0,15.37,4.382171189979124,4.02,2.5147624150415253,2.55,5.76,5.5,24.0,15.171419624217119,15.0,3.0395216242527834,13.0,17.5,0.0,9.18,3.1407933194154487,3.0,1.5896620114823954,2.0,4.15,6.5,23.25,16.04837160751566,16.0,2.904447005120254,14.0,18.25,0.0,8.86,3.2870146137787057,3.0,1.681012739490669,2.12,4.26
15.5,43.67,34.23,34.75,4.445520946453368,31.25,37.25,0.0,17.24,4.351565762004175,3.9,2.5208028730645347,2.49,5.78,7.67,23.0,15.609832985386221,15.5,2.8142527961254022,13.75,17.5,0.0,9.2,3.3632985386221295,3.03,1.7320033315197028,2.12,4.44,5.75,24.0,16.14413361169102,16.25,2.994848930413984,14.33,18.25,0.0,9.42,3.4823799582463466,3.27,1.7618881838767513,2.24,4.56
25.0,47.5,31.051064718162838,29.67,4.832275025119839,27.5,31.75,0.0,6.38,0.4031732776617954,0.43,0.5650422589779159,0.0,0.5,2.0,28.33,15.311899791231733,15.0,4.835509512035233,13.0,17.75,0.0,5.32,0.8219624217118998,0.5,0.9025268518167147,0.0,1.12,0.0,40.33,14.378810020876827,13.0,7.836963567184179,9.0,18.25,0.0,4.92,1.0989144050104385,0.94,0.8321598598869837,0.5,1.3
27.5,33.0,29.876471816283924,30.0,1.1488066733526496,29.0,30.25,0.0,1.0,0.25592901878914404,0.0,0.2758962632751712,0.0,0.47,0.0,14.5,8.183298538622129,8.75,3.3865927472598236,5.5,11.25,0.0,4.44,0.5457828810020877,0.47,0.644560570722223,0.0,0.71,11.0,23.25,18.116054279749477,18.0,1.7473290092319798,17.0,19.0,0.0,6.4,0.7010020876826722,0.71,0.4814120595969108,0.47,0.94
19.0,45.5,30.944237995824636,29.0,7.691003016467127,26.75,38.0,0.0,6.4,0.4681419624217119,0.43,0.7349010782869151,0.0,0.5,0.0,32.75,14.620292275574112,15.75,7.617687186632967,9.75,20.75,0.0,11.42,0.7791649269311065,0.47,1.014537702055882,0.0,1.12,1.67,36.0,18.391461377870563,17.5,5.851790588361173,15.0,21.0,0.0,6.73,1.1079331941544885,0.83,1.0818973085846093,0.47,1.3
21.0,50.0,32.603089770354906,33.0,6.23367988513482,26.25,34.5,0.0,9.9,0.5161586638830897,0.43,0.7907825846033906,0.0,0.83,0.0,28.25,13.938371607515657,14.25,5.888984918294079,10.0,18.0,0.0,7.4,0.8688935281837161,0.5,1.0280864476638927,0.43,1.12,5.0,33.75,20.333903966597077,19.5,5.031028825712649,17.67,23.5,0.0,13.61,1.1587473903966596,0.83,1.3324161276831354,0.47,1.3
35.5,48.0,46.22749478079332,46.0,1.7492439453097526,45.25,48.0,0.0,4.5,0.3130062630480167,0.0,0.46480677359605665,0.0,0.5,0.0,21.0,15.023402922755741,15.5,4.314122995968346,11.75,18.5,0.0,5.12,0.5980375782881002,0.47,0.6798673192665429,0.0,0.83,2.5,21.0,13.401106471816284,13.5,2.930528003594817,12.0,15.25,0.0,6.0,0.8818789144050104,0.83,0.6689439453676275,0.47,1.12
34.5,47.75,44.47108559498956,45.0,1.7744060444694731,45.0,45.25,0.0,2.18,0.28926931106471815,0.0,0.3924289884830447,0.0,0.5,5.0,21.33,17.962526096033404,18.5,2.497663780140793,18.0,19.33,0.0,4.44,0.555866388308977,0.43,0.66373265439021,0.0,0.71,1.0,19.67,13.211565762004176,13.0,2.614918867065624,12.0,15.0,0.0,4.32,0.9231315240083507,0.83,0.751485701005597,0.47,1.22
30.0,46.67,42.65091858037578,42.75,2.397265612743646,41.5,45.0,0.0,2.95,0.4026304801670146,0.43,0.41412731653338364,0.0,0.5,3.0,21.25,18.123987473903966,18.5,2.851029720725832,18.0,19.75,0.0,7.5,0.4679749478079332,0.43,0.6879314328294938,0.0,0.5,1.0,20.75,12.055678496868476,12.25,3.1432467139548073,10.5,14.25,0.0,4.64,0.9182881002087683,0.83,0.7100842607820568,0.47,1.12
36.0,47.5,43.71734864300626,45.0,2.3858774395254336,43.0,45.0,0.0,1.92,0.36747390396659707,0.43,0.37413119279495377,0.0,0.5,6.67,21.0,17.00768267223382,17.75,2.7144607051885883,15.5,18.75,0.0,6.02,0.544572025052192,0.43,0.7444993365080679,0.0,0.71,1.0,20.25,13.205991649269311,13.75,3.2882199734920987,11.33,15.67,0.0,6.18,1.040814196242171,0.83,0.9172828969862484,0.47,1.22
36.0,45.8,42.415574112734866,42.67,2.52096556894983,41.33,44.67,0.0,2.12,0.46048016701461375,0.47,0.3878057292016786,0.0,0.52,6.33,24.0,16.32329853862213,16.75,2.4685952963270568,15.0,18.0,0.0,5.59,0.7499791231732776,0.5,0.6683269246591328,0.43,1.09,2.0,22.0,10.06945720250522,9.75,3.7257772935531417,7.5,12.0,0.0,6.65,1.2279331941544884,1.09,0.8921757217836599,0.5,1.6
37.0,48.25,42.511774530271396,42.5,2.19510400038085,41.0,44.5,0.0,2.12,0.44160751565762,0.47,0.34921328861826095,0.0,0.5,1.0,21.75,13.210313152400834,13.5,4.736704549094489,9.67,17.5,0.0,5.61,0.8007098121085595,0.5,0.868510433888859,0.43,1.02,1.0,21.0,14.642129436325678,15.0,3.6269695350686075,12.5,17.5,0.0,6.85,0.9776409185803758,0.83,0.8541574848153589,0.47,1.22
36.0,47.33,42.66972860125261,43.67,2.3842860148618104,40.0,44.75,0.0,2.17,0.42004175365344465,0.47,0.36826859162187714,0.0,0.5,0.0,21.0,12.109895615866389,12.67,3.5603937346263423,11.5,14.33,0.0,5.56,0.5668684759916492,0.43,0.7189818794074659,0.0,0.82,0.0,19.67,14.246931106471816,14.5,3.265006419905173,12.75,16.5,0.0,3.77,0.7024634655532359,0.5,0.5679687309271325,0.43,0.94
36.25,45.5,42.95770354906054,42.67,1.5020111161720917,42.0,44.33,0.0,2.6,0.35187891440501046,0.47,0.31315211115659364,0.0,0.5,0.0,22.0,11.774237995824635,12.0,3.0218482307770467,11.0,13.33,0.0,4.72,0.5644676409185804,0.47,0.6388169623596403,0.0,0.83,0.0,20.25,14.947473903966596,15.25,2.705242486530265,14.0,16.75,0.0,4.0,0.7483089770354906,0.82,0.46161878680732893,0.43,0.98
36.0,47.33,44.44732776617954,45.0,2.4165749040370277,44.67,45.75,0.0,4.5,0.3455114822546973,0.43,0.3576856386287701,0.0,0.5,3.0,21.0,13.342922755741128,13.5,2.9435887740290556,12.0,15.5,0.0,5.54,0.6442171189979123,0.47,0.7183288972633395,0.0,0.83,1.0,21.0,12.616471816283925,12.75,3.416313416317894,11.0,14.67,0.0,5.91,1.1515240083507308,0.94,0.8393454655949848,0.5,1.5
36.25,45.75,43.195219206680584,44.75,2.4880440268337227,39.75,45.0,0.0,2.83,0.2707933194154489,0.0,0.3289844222464028,0.0,0.5,0.0,22.75,12.7358872651357,12.75,3.8601496377417788,10.67,15.25,0.0,3.74,0.6440501043841336,0.47,0.6773424299117661,0.0,0.87,2.0,24.0,18.201858037578287,18.25,3.5697545848004864,16.5,21.0,0.0,3.83,0.6468058455114822,0.5,0.5672428600036961,0.43,0.83
29.75,48.0,46.929979123173275,47.5,1.8339296924140953,47.2,47.75,0.0,4.6,0.4305636743215031,0.5,0.36712426443863555,0.43,0.5,6.5,21.0,16.86893528183716,18.0,2.5791365835727467,16.33,18.25,0.0,6.52,0.5286847599164927,0.43,0.6985419234561597,0.0,0.71,2.67,21.25,13.286638830897704,13.67,3.1363593505812672,11.67,15.5,0.0,6.58,0.9906471816283925,0.83,0.85615920020496,0.47,1.22
36.33,47.67,45.3978496868476,45.5,1.3289393048982554,45.0,46.33,0.0,1.66,0.4602087682672234,0.5,0.2701672313469343,0.43,0.5,1.5,21.25,17.670187891440502,18.0,1.7474255319548107,17.33,18.33,0.0,4.11,0.4413361169102296,0.43,0.4786656507408026,0.0,0.5,1.0,19.75,12.423695198329854,13.0,3.375949815054055,11.25,14.5,0.0,4.5,0.795866388308977,0.82,0.503255126845562,0.47,1.0
